,Astro,Endo,Excitatory L2/3,Excitatory L4,Excitatory L5,Excitatory L6,Inhibitory Other,Inhibitory Pvalb,Inhibitory Sst,Inhibitory Vip,Micro,Neuron Other,Olig,Other,Smc
11,0.14607704,0.06332635,0.00196914,0.32875565,0.10126913,2.1081438e-05,1.7854285e-05,0.032884143,0.049179625,0.045438573,0.011745368,0.048921634,0.0005114811,0.015863698,0.15401937
12,0.15222988,0.012039602,0.11256416,0.3656744,0.09048233,1.4553573e-05,0.00015332314,0.05174128,0.0046390127,0.039160024,0.006938228,0.020789586,0.0003888107,0.005751892,0.13743287
13,0.091587305,0.026515124,0.22306377,0.23326486,0.20704679,2.7644153e-05,4.331608e-05,0.011412726,0.0031686148,0.06477824,0.031368673,0.0022879406,0.00074368715,0.009356695,0.09533476
14,0.09135481,0.058752757,0.26122677,0.048813127,0.042648017,0.04269066,0.03636911,1.1313456e-06,0.1730166,0.06025632,0.023786718,0.01723689,8.2482245e-08,0.006262681,0.13758431
15,0.17712498,0.08847118,0.3456074,0.045469873,0.027311409,0.042115636,0.024100749,0.0168825,5.59522e-07,0.04576418,0.029294321,0.030699091,9.3848584e-08,0.0018085537,0.12534955
16,0.20985153,0.06298778,0.2311348,0.05918348,0.041181643,0.13103852,0.038539406,0.013003502,0.00202211,0.016091915,0.022184942,0.03604735,0.0007549592,0.020764692,0.11521325
17,0.10841273,0.060333546,0.17790487,0.10934151,0.0074143372,0.06879995,0.032855637,0.017440025,5.8030093e-07,0.17122251,0.025985058,0.08798058,1.2870025e-07,0.01667338,0.11563507
18,0.3065727,3.302556e-06,0.09422379,1.5175952e-05,1.2711914e-05,1.1886408e-05,3.9756237e-06,3.786622e-06,1.3343046e-06,0.059748787,0.3390996,0.013181713,3.5317632e-07,1.1456953e-06,0.18711978
19,0.38554996,0.0388944,3.3353715e-06,3.2396151e-06,8.628762e-06,0.10211505,0.00012523614,0.057711426,8.0476445e-07,0.29892525,8.389456e-06,1.9198308e-06,0.0007976859,0.005454404,0.1104003
20,0.37229794,0.028325116,0.0362826,5.2557575e-06,0.014506248,0.01915147,0.00075325486,0.021119682,0.23833357,0.092207655,0.017717458,0.022646459,0.04813785,0.01600659,0.07250886
21,0.3676063,0.01319196,5.141506e-05,0.018753946,0.027121557,0.020071356,3.033823e-06,1.4440647e-06,5.427913e-07,0.062315755,6.338612e-05,0.011872772,0.32952067,0.0066953884,0.1427305
22,0.16186851,0.07295926,7.019192e-06,0.000743496,1.183508e-05,0.025382645,1.5632082e-06,0.019499416,1.0143397e-06,1.7995933e-05,0.0044404077,0.057762913,0.5011198,2.3387054e-06,0.15618175
23,0.20397078,0.02836351,1.3770688e-05,6.3406183e-06,4.2934065e-05,0.36342165,2.933257e-06,0.015648963,0.0113183325,0.07903927,0.01271104,0.08222054,0.027504751,3.0173073e-06,0.17573212
