"","cell_ID","Inhibitory Vip","Inhibitory Other","Inhibitory Sst","Inhibitory Pvalb","Endo","Other","Excitatory L6","Excitatory L2/3","Neuron Other","Excitatory L5","Excitatory L4","Olig","Astro","Micro","Smc"
"21","20",0.0768009302752073,0.0625246386865896,0.184551469206089,0.0513194033226156,0,0,0,0.285465529403239,0.03442552458064,0.0731458225433918,0,0.0798946761776018,0.151872005804626,0,0
"22","21",0,0,0,0,0,0.101602786357726,0,0,0,0,0,0.612374501448157,0.213812884238414,0,0.0722098279557035
"23","22",0,0,0,0,0,0,0,0,0,0,0,0.7241713074612,0.120069621371848,0,0.155759071166951
"24","23",0.064702899385676,0,0,0.0708789652082738,0,0,0.178402143477084,0.495492351673919,0.117693336401884,0,0,0,0.0728303038531624,0,0
"25","24",0.0795738580951439,0,0.142626520334782,0,0,0,0.125048425701135,0.603462915541167,0,0,0,0,0.0492882803277713,0,0
"26","25",0,0,0,0.0472392998891215,0,0,0.195278221541205,0.546950419367686,0.0623667451595232,0.148165314042464,0,0,0,0,0
"27","26",0,0,0,0.0495220055097792,0,0,0,0.713559687494015,0,0.236918306996206,0,0,0,0,0
"28","27",0,0.0704620584927963,0.066242779208546,0,0,0,0,0.549236245280472,0.0774493354191752,0.177221122922528,0,0,0.0593884586764823,0,0
"29","28",0,0.0816915180585749,0.188199159878796,0,0,0,0,0.353093155636046,0.097767750735508,0.0975755856327032,0,0.107543565441748,0.0741292646166228,0,0
"30","29",0.143726359637134,0,0,0,0,0,0,0.399624646556039,0.0924779966954494,0.137870615837441,0.133260096375228,0,0.0930402848987087,0,0
"31","30",0.0391258186564813,0,0,0.174611587522508,0,0,0,0.366417524737224,0.0673539113078288,0.151430699624057,0.144653412192151,0,0.056407045959749,0,0
"32","31",0,0,0,0.123351398877981,0.103433206721548,0,0,0.484866841331425,0,0.133095970528339,0.0849683459006637,0,0.0702842366400426,0,0
"33","32",0,0,0,0.15401009871679,0.058400238101079,0,0,0.568476249747791,0,0,0.147480597602677,0,0.0716328158316644,0,0
"34","33",0.0909667087730995,0,0,0,0,0,-2.2642651689566e-20,0.431247953539857,0.133559814026713,0.138726711893732,0.108434952937231,0,0.0970638588293666,0,0
"35","34",0.0723593183729276,0,0,0,0,0,0,0.568520351733108,0.063086523458346,0.130340248752564,0.0924477690343152,0,0.0732457886487389,0,0
"36","35",0.0821791491208683,0,0,0.13140548470423,0,0,0,0.514288637968728,0.108386016137308,0.107384281755364,0.0563564303135017,0,0,0,0
"37","36",0.0855257084924024,0,0,0,0,0,0,0.488730472010036,0.0954357638356531,0.103961132476874,0.0823378871921968,0,0.0591007671521144,0.0849082688407238,0
"38","37",0.103710092311639,0.2562747044232,0,0,0.068231715167524,0,0,0.357742316762847,0.0993355856372657,0,0,0,0.114705585697524,0,0
"39","38",0,0,0,0,0,0,0,0.73707267184988,0,0.26292732815012,0,0,0,0,0
"40","39",0,0,0,0,0,0,0,0,0,0,0,0.689416628887317,0.310583371112683,0,0
"41","40",0,0,0,0,0,0.145827320545372,0,0,0,0,0,0.586257906754499,0.188211670474037,0,0.0797031022260925
"42","41",0,0,0,0,0,0.085430533104096,0,0,0,0,0,0.550211005904866,0.27650022023472,0,0.0878582407563174
"43","42",0.0642712529955973,0,0.12223656689294,0,0,0,0.167125678384457,0.438939931735765,0,0,0.08123891159093,0.060917492899742,0.065270165500568,0,0
"44","43",0,0,0,0.0680653307531143,0,0,0.145196589215115,0.724477226338769,0,0,0,0,0.0622608536930023,0,0
