,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Inh_L5_6_PVALB_FAM150B,,0.5775568882631326,0.3849246249045918,0.7539329632828915,0.4822816189124993,0.6697772529415554,0.8325546111576978,0.6442984806990802,,0.8134710803471205,1
Inh_L5_6_PVALB_GAPDHP60,,0.5237559727815254,0.25512890009133726,0.7229711949462652,0.46539652152366684,0.6824110862428033,0.6556802438286451,0.5634194448875912,,0.8170638674417993,1
Inh_L5_6_PVALB_KCNIP2,,0.6636515880635542,0.5699874466890966,,0.7158706719013618,0.7452787241734684,0.5518254697890396,0.7593219791690768,,0.8227705984369974,1
Inh_L5_6_PVALB_MEPE,0.5524748952903406,0.6027314901804129,0.5340312092148879,0.7300235572736832,0.5799112222489345,0.6061602225193692,0.8325546111576978,0.7049998065785599,,0.8091966680569308,1
Inh_L5_6_PVALB_SST_CRHR2,0.35278051787175996,0.4631951177997948,0.39990093472188354,0.7464891521854234,0.4688315620670435,0.6240795188876027,0.5761479908884242,0.6424841536482976,,0.8152564144001524,1
Inh_L5_6_PVALB_ZFPM2_AS1,0.48552482931107416,0.6538407297463023,0.6508466875444748,0.8180195154410168,0.6444834068083601,0.6845650548525761,0.7574305956894983,0.7801861879362206,,0.7967456737200951,1
Inh_L5_6_SST_BEAN1,,0.6503028737407708,0.5536012609580758,,0.6492531632310956,0.7573927400583838,,0.7588605894132363,,0.8220055630945686,1
Inh_L5_6_SST_C4orf26,,0.603010104063113,0.4439416520540889,0.7211374847352974,0.6105895629049303,0.7414191276826387,0.7709920396332856,0.6331253096526347,,0.8138009412689493,1
Inh_L5_6_SST_DNAJC14,,0.7638128579540365,0.6869062921695785,,0.7315682984724874,0.8191314365495191,,0.7863416186899113,,0.8285937741825808,1
Inh_L5_6_SST_FBN2,,0.6466793228060388,0.6112626818985357,,0.7280954688663137,0.7920479960809673,0.8325546111576977,0.7892841022208914,,0.8222848876150075,1
