,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Inh_L3_6_VIP_UG0898H09,,0.534071767266396,0.2583153003018064,0.10751816750886195,0.38027129349643707,0.29115346605912384,0.3554329964045667,0.6209820843644633,,0.04253932471168556,1_r
Inh_L3_6_VIP_ZIM2_AS1,,0.9441070925033869,0.7806495330436094,,0.9475593740073552,0.6624595973058431,0.8031887044836012,0.8322937695761674,,0.10095523414299891,1_r
Inh_L3_PVALB_SAMD13,0.8142560598709316,0.6203263805781076,0.7422489552537732,0.3168489946007634,0.6188932018340492,0.6067109042323305,0.22109838183377223,0.6418963160628934,,0.14867638256594318,1_r
Inh_L5_6_LAMP5_CRABP1,0.9341654574225732,0.7976785771470678,0.8435520623140661,0.32986003803161057,0.9090831186459022,0.8473099909342162,0.6740927578631797,0.8463013222403354,,0.2116002366690224,1_r
Inh_L5_6_PVALB_FAM150B,0.5144998501337272,0.47839962999585306,0.212036137902815,,0.5104565337404452,0.2623675983513317,,0.21330477384070748,,0.0237594699612241,1_r
Inh_L5_6_PVALB_GAPDHP60,0.8542131848784187,0.7895755745251097,0.3902473613556447,0.17746500142169708,0.785752010151641,0.6833358036393735,,0.605774900978863,,0.08692919047509005,1_r
Inh_L5_6_PVALB_KCNIP2,,0.7897070114834386,0.6389911013944557,,0.4232390747522861,0.5915102885566282,0.688213024825466,0.4595987391900037,,0.08868451189439594,1_r
Inh_L5_6_PVALB_MEPE,0.6727817347625509,0.6873996989177106,0.4613690001315644,0.2285306919524208,0.4024758115654535,0.5097995997097563,,0.3755548578064301,,0.058623902828156105,1_r
Inh_L5_6_PVALB_SST_CRHR2,0.8006680720371162,0.725710355358462,0.617837256644519,0.06209672586065692,0.6812693297865895,0.5688077453697782,,0.6956862683009628,,0.1381038287863127,1_r
Inh_L5_6_PVALB_ZFPM2_AS1,0.7633945822060111,0.511423720885522,0.8285925899949096,0.22796679209026,0.5681278183868947,0.4738474169569491,0.2550703208989293,0.45432028378071077,,0.1175996652468062,1_r
Inh_L5_6_SST_BEAN1,,0.7132387001728179,0.4671899598292364,0.10030618734873904,0.27340067282429875,0.32038521125175223,0.6234914014776797,0.2707901068686922,,0.05622707521467486,1_r
Inh_L5_6_SST_C4orf26,,0.5942141475368888,0.10993564194318087,,0.35215812747066677,0.21920031110710889,,0.05060333863121762,,-0.005166728939994146,1_r
Inh_L5_6_SST_DNAJC14,,0.09553293781660294,-0.003036746988830151,,-0.0061202772259815255,-0.013355445428968537,0.9999999999999989,0.0176629984172985,,-0.012327544566110097,1_r
Inh_L5_6_SST_FBN2,,0.5912098916721912,0.44160547321171323,-0.012209207376492597,0.14492025812471696,0.13041540945691416,0.23509685454306326,0.3318494243073913,,0.03933816434061923,1_r
Inh_L5_6_SST_ISX,0.661417354183061,0.4941343460497721,0.5280262727454237,,0.4402872847448134,0.35829655855196435,-0.00398300380693644,0.4373152477410387,,0.04270552387359429,1_r
Inh_L5_6_SST_KLHL1,0.7181608492597489,0.7031839588176972,0.6762398848140999,,0.6000707998993421,0.5170003603254087,0.4826991486347343,0.6138365841832877,,0.06269509620775679,1_r
Inh_L5_6_SST_PAWR,0.576209837992008,0.5309684023886834,0.5676541589724651,0.2819413357857801,0.33908218573990295,0.395358923657703,0.15714607567491748,0.6432692527045859,,0.07897459734716866,1_r
Inh_L5_6_SST_PIK3CD,0.4363372198320859,0.5560604650646873,0.4508475623989126,,0.5642655710883091,0.3016968724186128,0.21232745836086653,0.48388761351029297,,0.07806416842345668,1_r
Inh_L5_6_VIP_COL4A3,,0.504693675610296,0.5375762990309181,,0.020031615458600514,0.22712402253467925,0.6915733288299872,0.4320610939622514,,0.05263488433431278,1_r
Inh_L5_PVALB_LRIG3,0.7135689735407768,0.5895719300089665,0.6398673373148497,,0.5821780984225479,0.4772495064504604,,0.4975039791376596,,0.10888033753100601,1_r
Inh_L5_SST_RPL35AP11,0.49355053094358287,0.47017559173513923,0.37950056276046457,-0.010567939196198637,0.46012642587048386,0.31202952397546574,0.21121933316404398,0.21394900580459258,,0.1151120527469884,1_r
Inh_L6_SST_TH,,0.8805120048906169,0.7509509941120949,,0.7957922428710374,0.8076796370179479,,0.7587935028285333,,0.05445767844618061,1_r
Micro_L1_6_TYROBP_CD74,0.6804371393490679,0.7588916159675932,0.6535676607070793,0.8624393828349344,0.6834610545590747,0.7037048629346617,,0.6536095789154364,,0.06728933460224708,1_r
OPC_L1_6_PDGFRA_COL20A1,0.941466906732771,0.934201003373888,0.8570125683832654,0.7559206303081472,0.9283490456728978,0.8709964068871983,0.804949886396459,0.9215734445562414,,0.07317412312834551,1_r
Oligo_L2_6_OPALIN_FTH1P3,0.8291706538731861,0.8403820411891558,0.6789838018145207,0.4409884785406047,0.8044022207831103,0.8372225454311867,0.1854919088737728,0.8197058440530599,,0.3800108648468125,1_r
Oligo_L2_6_OPALIN_MAP6D1,-0.0025792161666161836,-0.0007932593915576585,-0.01717220198698433,-0.012547321278214969,0.059749252856804234,-0.02058973767167397,,0.22565637176158118,,-0.06776246148220773,1_r
Oligo_L3_6_OPALIN_ENPP6,0.7292651465587177,0.7828469828606908,0.6884877635241311,0.5723390133260304,0.7310791055724836,0.6768949530237769,0.46492531176841656,0.5645041638314153,,0.40312950724441116,1_r
Oligo_L3_6_OPALIN_LRP4_AS1,,0.05772400498421588,-0.0068514158392795855,,0.0549808647436904,-0.005960120399565176,,0.29510300406581386,,0.01251240940485264,1_r
Oligo_L5_6_OPALIN_LDLRAP1,,,,,,,,,,,1_r
VLMC_L1_5_PDGFRA_COLEC12,,0.9524816531621191,0.5647714025089848,,0.6740862946176368,0.3952545405219361,,0.5220201960497383,,0.07056506512170253,1_r
Astro,0.9621147518287568,0.9618080413159145,0.8942076153305322,0.9083806449153211,0.8273255676047164,0.957784727293806,0.9664343933745634,0.9707032802089756,,0.2417624534789228,2_r
CA1,0.8665171838823461,0.9058494814490926,0.8439188700129232,0.3479228723385623,0.5492338378578628,0.8558068434121435,0.5597411918120488,0.8917707893042045,,0.0016982998596008427,2_r
CA1_ProS,,0.6205288288900924,0.38244751490732776,,0.14064724976962653,0.1360199862122097,0.15508665463833401,0.4380357381694287,,-0.03158999215824173,2_r
