,Astro,CR,Endo,ExcitatoryL2and3,ExcitatoryL4,ExcitatoryL5and6,Inhibitory,Micro,Olig,Peri,Smc,VLMC
12,0.06220945436560619,0.028082744625115102,0.06535308171219505,0.01509448793195974,0.025094693247114608,0.02146011460198655,0.3329459526080015,0.012979221001129257,0.10278625563189715,0.10706090503518635,0.1415451886384907,0.0853879006013179
13,0.05688503990594639,0.03869930955195328,0.06515637662115702,0.020341326699511622,0.032722558727549624,0.027489225981341188,0.32570257021509785,0.009381920196141234,0.10101895779810609,0.11664470439251881,0.1230013989397217,0.0829566109709552
14,0.0574315898887268,0.04609278286602603,0.06743559345947384,0.024716120186205004,0.03855263197354281,0.03213571665194358,0.2988557302253901,0.009454030087045215,0.1023827838631233,0.12189110522674239,0.11673279716464191,0.0843191184071391
15,0.06309833149604475,0.04081296319936571,0.07046057251369915,0.022770552349905184,0.03561190722682693,0.029902220128144825,0.2865710223359839,0.010287987998214362,0.10625821168311902,0.11971364807428292,0.1270958508895692,0.08741673210484403
16,0.060162468776920795,0.04367933528095754,0.06946491112098674,0.024035048020076985,0.037449742913121226,0.03147346218892673,0.28808473474627844,0.009843255427899664,0.10460396061351954,0.12048352479979757,0.12385880355720383,0.08686075255431092
17,0.055455306794933615,0.05714507963605856,0.06859102017417658,0.031090521848908387,0.04683013901602229,0.038822032880763906,0.2710323434778615,0.009326898738776804,0.1018195320542372,0.1256623528351883,0.10865966729719526,0.08556510524587757
18,0.05486217236681892,0.06639766479774104,0.06994133596067158,0.03699780096252806,0.054020060377729016,0.04454320265172928,0.2458808806619776,0.009372564686114398,0.10155967727479596,0.12795213767964767,0.10189916935120456,0.08657333322904195
19,0.059424441537251606,0.06062140776364615,0.07285871549512872,0.03448902338560774,0.05084791890045073,0.04213362643476934,0.2427683351123421,0.009786672240702657,0.10349051853984802,0.12847849907792963,0.10876078600223318,0.08634005551008997
20,0.058727942589864295,0.06211464556752107,0.0736880719071035,0.036171023740713404,0.05251860307361336,0.04381002864075763,0.2325199200312001,0.00993487100722096,0.10475457073882415,0.1272342216047067,0.1099100141569571,0.08861608694151786
21,0.05467126873217371,0.07720509865838825,0.07156562438063237,0.045192685078261775,0.06331751757092753,0.05235549764055302,0.2102225042440868,0.00957020308103047,0.10125522738467198,0.1288104786927868,0.0975079802217828,0.08832591431470449
