"","predicted.id","prediction.score.Vip","prediction.score.Lamp5","prediction.score.Sst","prediction.score.Sncg","prediction.score.Serpinf1","prediction.score.Pvalb","prediction.score.Endo","prediction.score.Peri","prediction.score.L6CT","prediction.score.L6b","prediction.score.L6IT","prediction.score.L2and3IT","prediction.score.CR","prediction.score.L5PT","prediction.score.NP","prediction.score.L4","prediction.score.L5IT","prediction.score.Oligo","prediction.score.Meis2","prediction.score.Astro","prediction.score.Macrophage","prediction.score.VLMC","prediction.score.SMC","prediction.score.max"
"60","Lamp5",0,0.580164060314373,0.113663257025729,0,0,0.0263298247993412,0,0.00533129618760252,0,0,0.0141143661554181,0,0,0.0280501041268791,0.0390961215903474,0.0243241754235278,0,0.105023235045616,0,0.0639035593311657,0,0,0,0.580164060314373
"61","Oligo",0,0.0305226102923502,0.0108126948225572,0,0,0.005150641904984,0,0,0,0,0.000469584823701606,0,0,0.0268314544868715,0.00393409297043872,0,0,0.922278920699097,0,0,0,0,0,0.922278920699097
"62","L6CT",0.00304514545647683,0.0510358173538507,0.0301778743493318,0,0,0,0,0,0.831539270212277,0.0167093438843743,0.0326563649218018,0,0,0.0109618398743403,0,0.0238743439475472,0,0,0,0,0,0,0,0.831539270212277
"63","L6IT",0.00822502594918613,0,0,0,0,0,0,0.00369696851325076,0.0318325891799547,0.0337270683004618,0.861971012542349,0.00303855947564485,0,0,0.0254641696059236,0.0239851089142298,0,0,0.00256899285780761,0.00549050466119235,0,0,0,0.861971012542349
"64","L6IT",0.0308171004345527,0,0.00151363081557369,0,0,0.0682142320943058,0,0,0.073349121943381,0,0.819179150437715,0,0,0,0.000688206269947129,0.00623855800452434,0,0,0,0,0,0,0,0.819179150437715
"65","NP",0.000265250148750294,0,0.00472006684120645,0,0,0.0142662306058081,0,0.0020972185792919,0,0,0.110599158554904,0,0,0,0.783774236112905,0,0,0,0,0.0842778391571351,0,0,0,0.783774236112905
"66","L5IT",0.100059401529286,0.0378755869287171,0.00835092958584696,0,0,0.000850301161958484,0,0,0.00804205037295992,0,0,0,0,0.111728783371657,0.04399671951249,0.0173730317106575,0.664413561969045,0.00319685329851887,0,0.0041127805588631,0,0,0,0.664413561969045
"67","L5PT",0,0,0.0226400680941328,0,0,0,0.00297129544734478,0,0,0,0.12300968899894,0.00887544121579037,0,0.405099117872771,0.0045095452220438,0.0436445729907307,0.378558963727218,0,0,0.0106913064310281,0,0,0,0.405099117872771
"68","L5IT",0.0255183622069471,0.0113778775960315,0.00170990181927003,0,0,0.00663094657661443,0,0,0,0,0.0145776518892662,0,0,0.00132880809382043,0.0156142893674014,0.0961728448749754,0.82565895892534,0,0.00141035865033362,0,0,0,0,0.82565895892534
"69","L4",0,0,0.00734039509893677,0,0,0.00440343473971785,0,0.00338472878066829,0,0,0.0446672505091312,0,0,0,0.0188315259254103,0.894662852942746,0.0267098120033901,0,0,0,0,0,0,0.894662852942746
"70","L4",0,0,0,0,0,0,0,0,0,0,0,6.58630851225075e-05,0,0,0,0.990886598820727,0.00904753809414969,0,0,0,0,0,0,0.990886598820727
"71","L4",0.0168178009616708,0,0,0,0,0.00206408890157019,0,0,0,0,0.00103193335092511,0.0973419089242387,0,0.000413106311851013,0,0.871080294458777,0,0,0,0.0112508670909665,0,0,0,0.871080294458777
"72","Vip",0.78263974611845,0.0246654766575109,0.00309240268791087,0,0,0,0,0,0,0,0,0.116606754115224,0,0,0,0.0203223253665286,0,0,0,0.0526732950543762,0,0,0,0.78263974611845
"73","Pvalb",0.0188780900735903,0.0235620136355234,0,0,0,0.857405656456045,0,0,0,0,0.0153096486717719,0.00254572291855609,0,0,0,0.0384258001656344,0,0.00556612267109162,0,0.0383069454077872,0,0,0,0.857405656456045
"74","L2and3IT",0.00869779500224192,0.0110258003539665,0.00384661922574572,0,0,0.0309377859343079,0,0,0,0,0.0695956563832571,0.869409250004851,0,0.000847749231053125,0,0,0,0,0,0.00563934386457712,0,0,0,0.869409250004851
"75","Lamp5",0.139036029913904,0.519250896235711,0.00843262974389484,0,0,0.0594692427455813,0.0567318400594879,0,0,0,0.0155578654215074,0.00588097342526139,0,0,0.00498539825614645,0.054818114538929,0,0,0,0.135837009659577,0,0,0,0.519250896235711
"76","Vip",0.509881848279911,0,0.0292489926829344,0,0,0.000185210969030795,0,0.0185873153219189,0,0,4.9390225728961e-05,0,0,0,0.0852081180774201,0.11602129411438,0,0,0,0.203637278876802,0.00447486709219888,0.0316423777392202,0.00106330662045405,0.509881848279911
"77","Sst",0,0.0118996306215021,0.587883212280812,0,0,0,0,0,0,0,0.0648133303305363,0,0,0,0.244383604370723,0.0910202223964257,0,0,0,0,0,0,0,0.587883212280812
"78","Astro",0.00528955891247681,0,0,0,0,0,0,0.01052624155406,0,0,0,0,0,0,0.0857519558392872,0.00769457292513362,0,0,0,0.890737670769043,0,0,0,0.890737670769043
"79","Pvalb",0.0208736445729064,0.0401509527302411,0.0480343470332088,0,0,0.556224164582542,0,0.0141110911187325,0,0,0.0867779146761274,0,0,0,0.0891489587731027,0.107699365270493,0,0.0369795612426463,0,0,0,0,0,0.556224164582542
"80","Oligo",0,0.155176515412093,0,0,0,0.011616179865323,0,0,0,0,0.00105970211358474,0,0,0.0199961628868758,0.0159753490918945,0,0,0.72073493928149,0,0.0754411513487395,0,0,0,0.72073493928149
"81","L6b",0.00381450194848629,0.0220576015204226,0,0,0,0.00349350780825409,0,0,0.038557424572519,0.83908227758224,0.000317846957322028,0,0,0.0375454660684589,0,0.0551313735422977,0,0,0,0,0,0,0,0.83908227758224
"82","L6CT",0.126428266361967,0.0569051464309842,0,0,0,0.0124394165120216,0,0,0.720215680048918,0.00698133888730792,0.0104558169768322,0.0222163438211181,0,0,0.0129974735052193,0,0.00563718045585457,0,0,0.0257233369997772,0,0,0,0.720215680048918
"83","Pvalb",0,0.00153738122997521,0.00611647564002188,0,0,0.922252561963364,0,0.00213106639056703,0,0,0.0130011315633639,0.00153738122997521,0,0,0.0171345265678248,0,0.000317839078640975,0,0,0.0359716363362663,0,0,0,0.922252561963364
"84","Pvalb",0.0202609065414119,0,0.00433175449780428,0,0,0.902441521151152,0,0,0.00838195663045254,0,0.0406212744535868,0,0,0,2.38342142735587e-05,0,0,0,0,0.0239387525113188,0,0,0,0.902441521151152
"85","Vip",0.597173017314207,0,0.118007880098024,0,0,0,0,0,0.0697703063627038,0,0.00166702357609582,0.014111261115723,0,0.14657209768805,0,0.0413837499868899,0.00302751265031383,0,0,0.00828715120799249,0,0,0,0.597173017314207
"86","L5PT",0,0.0408394726481082,0.0666544662039582,0,0,0.0745458177099461,0,0,0,0,0.0136250115870718,0.0417175804119452,0,0.515641832654794,0,0,0.230401984445027,0,0.0143180607801704,0.00225577355897887,0,0,0,0.515641832654794
"87","Lamp5",0.271152470326203,0.324216794698381,0.00272022606512295,0,0,0.0438308560768358,0,0.0183255645106926,0,0,0.00196698908238464,0,0,0,0.0578112639073348,0.0387335645991158,0.0731268457296958,0.081636891490404,0,0.0756177854241012,0,0.00814400455727544,0.0027167435324524,0.324216794698381
"88","L4",0,0,0,0,0,0,0,0.00203736430000017,0,0,0,0,0,0,0.0508829539367327,0.723292673892063,0.204022173351407,0,0,0.0197648345197973,0,0,0,0.723292673892063
"89","L4",0.00034809705897959,0,0,0,0,0,0,0,0,0,0,0,0,0.0117669514567759,0,0.97958938973779,0.00829556174645412,0,0,0,0,0,0,0.97958938973779
"90","L2and3IT",0.0674984886204232,0,0,0,0,0.0187018610704183,0,0.00045075754421988,0,0,0.0281954895328121,0.533197616370707,0,0,0.0407491486617214,0.310605607335168,0,0,0,0,0,0.000450762166856511,0.000150268697673399,0.533197616370707
"91","L2and3IT",0.0031678647371184,0,0.132493760484201,0,0,0.0238970756734149,0,0,0,0,0.0159403939943979,0.751691441507644,0,0,0,0.035390302240678,0.00282009000377709,0,0,0.0345990713587681,0,0,0,0.751691441507644
"92","Vip",0.535944602707704,0,0,0,0,0.00127568416486351,0,0.000136809424982023,0,0,0.112150266390878,0,0,0,0.169916379808802,0.081998151179999,0.000395710145928793,0,0,0.00329059840348206,0.0948917977733604,0,0,0.535944602707704
"93","L2and3IT",0.00782716098791563,0.0116878918053826,0.127350313085772,0,0,0.0311187862315974,0,0,0,0,0.0373450951581176,0.743670222320965,0,0.0116416191394393,0,0,0.02935891127081,0,0,0,0,0,0,0.743670222320965
"94","Sst",0.035327102514494,0,0.502415115967212,0,0,0,0,0.00839763870716765,0,0,0.0528244310127765,0,0,0,0.046622842937439,0.262487943667341,0,0,0,0.0919249251935699,0,0,0,0.502415115967212
"95","NP",0.0404416606323804,0,0.0223257227991073,0,0,0,0,0.00639597227815266,0,0,0.0571103765942942,0.000934674392003511,0,0.00606627377610366,0.84744482857309,0,0,0,0,0.0192804909548677,0,0,0,0.84744482857309
"96","Vip",0.424436361962471,0,0.0239442178495368,0,0,0,0,0,0,0,0.418809834670159,0.00481725810707542,0.0064170308908337,0.0210829476858964,0.00672633396643607,0.0937660148675926,0,0,0,0,0,0,0,0.424436361962471
"97","Sst",0,0.0386674793701979,0.640459141357028,0,0,0.0178657354601761,0,0.0126525065039951,0,0,0.00162954745629885,0,0,0.000543171560477382,0.0739349199993831,0,0,0.214247498292444,0,0,0,0,0,0.640459141357028
