,Vip,Lamp5,Sst,Sncg,Serpinf1,Pvalb,Endo,Peri,L6CT,L6b,L6IT,L2and3IT,CR,L5PT,NP,L4,L5IT,Oligo,Meis2,Astro,Macrophage,VLMC,SMC
35,1.7045434,0.7005015,1.1922531,0.41723576,0.0019200942,1.4944295,0.14848095,4.0580545e-07,0.3295076,0.32848898,2.1522522,1.3428944,0.03222098,0.42047983,0.27286908,0.48032492,0.5906361,0.038395308,0.10491541,0.23613259,0.12784967,0.13540076,0.07092389
36,1.4771258,0.54128,0.7506548,0.101010844,7.174428e-06,0.8481968,0.07153155,0.004329038,0.18866576,0.13364758,2.1383808,1.1274027,0.005896008,0.13987938,0.011234203,0.6660876,0.7222714,0.01564937,0.21297076,0.24953131,0.10556021,0.06946256,0.05393301
37,0.4549982,0.6871782,0.46673524,0.027464405,7.259443e-06,0.4022821,0.03788858,1.6166184e-07,0.17994478,0.08975554,0.49223536,0.22419342,0.022664553,0.084054485,0.082050756,0.23207243,0.17534795,0.0036493149,0.0439459,0.15789977,0.06063023,0.040644675,0.023325238
38,0.49192634,0.2845956,0.5740805,0.009654779,7.2487535e-07,0.34933522,0.006625437,1.9947899e-07,0.15474838,0.25349435,0.577806,0.46429592,0.0033924666,0.41999024,0.094473764,0.18184638,0.13723102,0.029108942,0.010976867,0.028162219,0.00026021418,0.055370808,0.026720112
39,0.43058836,0.22393005,0.40336493,0.045332547,7.4641883e-07,0.2786865,0.012650122,1.1131605e-06,0.23989919,0.123339646,0.20618464,0.18084177,0.00034981527,0.19779564,0.07317607,0.1725152,0.06987569,0.092094146,0.043459248,0.110627,0.010547959,0.015649287,0.01911033
40,1.5659387,1.1393051,1.0332192,0.015001498,6.632692e-07,1.198676,0.059435092,1.5274408e-06,0.1433228,0.1490457,1.5075064,0.31944692,0.015265382,0.7558027,0.07122052,0.43030646,0.33358127,0.23628944,0.13862532,0.25080281,0.018654555,0.09162654,0.048226025
41,0.892963,0.47420368,1.2824994,0.00022956148,0.0010562055,1.1640011,0.081502676,0.005887059,0.14687711,0.07608604,0.924876,0.21784177,0.0036916349,0.41842785,0.18896268,0.5171581,0.71524584,0.12738161,0.00064028456,0.2263599,0.008572405,0.060449395,0.041881464
42,0.9181904,1.0806763,1.2891437,0.021395387,5.249587e-07,0.38317797,0.011003115,1.0612184e-06,0.88776577,0.79332566,2.3482864,0.2517785,0.0036604397,0.6939541,0.31678855,0.88953173,0.67860913,0.091835216,0.05336764,0.2342332,0.030102843,0.10262507,0.06444517
43,0.86541367,0.46734005,0.7583472,0.009821033,2.2627113e-07,0.6904824,0.030877415,8.670511e-08,0.95571613,0.22521256,3.0125103,0.23090488,0.008777206,0.33055538,0.12788165,0.31085885,0.8000479,0.037207067,0.027304715,0.12955071,0.0339967,0.04025509,0.041377462
44,0.9701544,0.5977112,1.007125,0.048300285,4.0288296e-07,1.4859328,0.03530155,3.1875828e-07,1.2867984,0.29542226,1.5298913,0.5246548,0.0038067412,0.40280664,0.23715597,0.57457095,0.5932765,0.086589925,0.027042096,0.30004364,0.08874583,0.04027924,0.034157977
45,0.9749434,0.5956975,1.2891371,0.05297814,0.00080700737,0.6743167,0.034930713,0.002854459,0.4972858,0.11339512,0.9992374,0.47912398,9.243648e-06,0.35432562,1.9095813e-05,0.49920174,0.70761836,0.034944065,0.02951271,0.26881614,0.027920695,0.034288116,0.020913584
46,1.2459755,0.53243697,1.2409753,1.0086828e-05,0.019744221,1.0932415,0.023149997,3.8913012e-07,0.6046367,0.2695258,1.082431,0.37129387,0.0045977444,1.1645755,0.11624372,0.5972139,0.8076146,0.045666683,0.04819753,0.35584167,0.0706517,0.06290287,0.031194646
47,1.1893443,0.59637016,0.49887222,0.51890093,5.1588954e-06,0.5530053,0.0078107114,0.00031330265,0.22041696,0.088584185,1.0679104,0.42008644,0.0069629536,1.0161006,0.19861844,0.46645105,0.82242996,0.018527614,0.0008444935,0.24336766,0.0057798005,0.03899755,0.03629762
48,0.9263332,0.7434691,1.0842426,0.003291816,9.3017866e-07,0.64575136,0.012472502,4.7873715e-07,0.17791337,0.100271754,1.1742986,0.4570155,0.15971199,0.4860707,0.51475257,1.1280965,0.768875,0.01266006,0.0068366677,0.19217749,0.046675242,0.043043733,0.044269413
49,1.1166177,0.71865106,0.9596753,0.08832954,0.013899145,1.4508432,0.019619346,1.08754534e-07,0.5783771,0.07290853,1.6057518,0.08804043,0.0029955038,0.10255749,0.7533031,2.6246057,1.0949328,0.024045331,0.03465979,0.29654667,0.08094498,0.018622577,0.060739245
50,0.972536,0.6266577,0.6816965,0.086090565,2.725655e-07,0.97294956,0.077272646,5.786331e-07,0.33747298,0.37807426,1.5161672,0.5706906,0.0040402026,0.055790097,0.1964552,1.6445279,0.45913446,0.00655391,0.10062404,0.17736278,0.009846652,0.048533734,0.015397276
51,0.901914,0.572025,0.5881089,0.09248552,0.019403292,0.7981468,0.035640467,6.5716586e-07,0.83462024,0.10631029,0.83620554,1.3855277,0.038316846,0.20435125,0.044071265,0.81117475,0.26018798,0.0078325765,0.04185074,0.22582005,0.030029317,0.032034982,0.028039394
52,0.8157464,0.310003,0.8585639,1.9477173e-05,1.2491329e-07,1.1732529,0.00017414235,1.7013139e-07,0.38588545,0.14539598,1.3064742,0.8210894,0.008530908,0.0773472,0.16924834,0.45192114,0.2433709,0.012168206,0.061343372,0.103161804,0.038459014,0.061025783,0.04384612
53,1.869802,0.7830021,0.8308826,0.17244944,0.01708531,0.5378747,0.00726182,6.568951e-08,0.11602065,0.302396,2.2177758,1.7120684,0.004869445,0.33371946,0.18952852,1.1837786,0.017229265,0.062118925,0.025508959,0.15881953,0.032706123,0.07236447,0.043583322
54,1.6747365,0.6808903,1.8285869,0.07011247,2.6952915e-07,0.831547,0.034644525,9.2825223e-07,0.20362872,0.13489039,2.180425,1.6920913,0.010017092,0.07563649,0.0015928491,0.79965496,0.29005885,0.019981254,0.078129746,0.18494992,0.03890359,0.071968935,0.087948024
55,0.72180545,0.7865507,0.78831446,0.09742653,5.527317e-07,0.16476059,0.007009916,2.0343704e-07,0.074508555,0.117347136,0.30824086,0.46132472,0.0071932646,0.07415112,0.018075835,0.23583211,0.08695199,0.028102392,0.035730194,0.24226694,0.063045524,0.009604036,0.033277214
56,0.30873692,0.2988404,0.19338787,1.3795516e-05,5.168983e-07,0.22177547,0.019285697,3.9481873e-07,0.061022975,0.03839699,0.16304332,0.18378039,0.0033898954,0.056392428,2.9082523e-05,0.06080012,0.1488819,0.0068480475,5.0090853e-06,0.17142555,0.004777228,0.066283286,0.0026923858
57,0.39064574,0.26606148,0.36898836,0.032065008,0.020469075,0.27816647,0.0058925236,3.4118065e-07,0.34867674,0.1698949,0.61032957,0.57267606,0.014398423,0.2460332,0.17559078,0.04813249,0.22534622,0.03286692,4.036073e-05,0.043211274,0.023808373,0.038963392,0.015307031
58,0.6133869,0.58315796,0.77772415,0.03508668,6.101502e-07,0.60510635,0.06381512,0.0022281667,0.3643114,0.07716922,0.80233693,0.29527956,0.024765812,0.24868724,0.38519806,0.08073117,0.45383793,0.052328512,0.0336939,0.20158204,0.027562367,0.026184058,0.018940445
59,0.5082693,0.5672074,0.59340465,0.00019338139,6.364914e-07,0.2531167,0.036514957,0.00019126936,0.08177603,0.008718726,0.55051374,0.041004676,0.0016022142,0.30227914,5.3970187e-05,0.34786004,0.34100163,0.071323134,2.3615843e-05,0.08463611,0.006448752,0.026205167,0.023045713
60,1.3628894,0.7517,1.7829182,0.0009204638,7.817694e-06,1.6741633,0.017193506,0.027514609,0.6801114,0.1349949,2.232342,0.35166267,0.007817331,0.777165,3.217558e-05,1.0402504,0.8567989,0.21536875,0.019813238,0.111389205,0.033520002,0.045653597,0.059288986
61,0.8227597,1.2160413,1.0615594,0.027879708,1.7490743e-06,0.68200076,0.017838148,2.795591e-07,1.5934838,0.32827428,1.0289162,0.33639252,0.0019300185,0.23133783,0.11473545,0.32717514,0.6505467,0.06967295,0.037726462,0.20397477,0.007904428,0.07438898,0.044743933
62,0.50832325,0.44974434,0.74535394,0.004939729,8.8490054e-07,0.23832496,0.020735493,2.1727485e-06,0.60537493,0.11961913,1.3589962,0.52861166,0.0053149075,0.29670978,0.074518725,0.37048262,0.2726533,0.04312048,0.029200815,0.16282824,0.0025711209,0.023191217,0.014341002
63,0.9259033,0.36641014,0.6823789,0.08083819,0.0011025455,0.585011,0.01888163,1.2181343e-07,0.97876287,0.1784624,1.8758509,0.37289295,0.08792819,0.1360997,0.22890495,0.18244272,0.54200184,0.029695237,0.025711909,0.1487028,0.019757176,0.03195951,0.04472718
64,0.49655542,0.36245537,0.61869216,0.010188337,7.319094e-07,0.5577955,1.39344975e-05,5.989543e-07,0.5314554,0.14161488,0.9420096,0.114046305,0.0018754057,0.28691304,0.3279354,0.287659,0.88769484,0.0024915307,0.024289407,0.11139077,0.008824344,0.0143958405,0.014277
65,1.4355353,0.59762335,0.9519807,0.06742105,9.622902e-07,0.9073512,0.020274125,0.026445273,0.57243747,0.17544314,1.4812312,0.4828999,0.0051323385,1.0558548,0.3854702,0.5652726,1.5053014,0.09687641,0.08176946,0.21217348,0.052180063,0.10397644,0.05485027
66,0.6187245,0.656237,0.9261257,0.009235086,1.0800998e-07,0.5451619,0.016512077,2.8165954e-07,0.2543713,0.3737986,0.7022498,0.88109493,0.0030973535,0.67094994,0.08937305,0.38186437,0.8755435,0.021872498,0.047176667,0.17016226,0.056294616,0.023833588,0.017594907
67,1.0615268,0.54508394,0.7443029,0.052308153,0.12783639,0.7218673,0.06490182,0.0033649195,0.3495533,0.3322404,1.0402857,0.33768654,0.005181634,0.21332556,0.45632178,1.0692401,0.61267245,0.056639124,1.4526257e-06,0.14560392,0.08351671,0.06259218,0.025594084
68,0.8958884,0.38479745,1.213371,0.06866648,0.007795102,0.87003654,0.039188575,0.0011947922,0.3587653,0.29916933,1.2919703,0.77508426,0.008023882,0.3078914,0.20987011,2.4238873,1.1286807,0.049376234,0.036601257,0.25892824,0.05512135,0.08850012,0.019415194
69,1.6248811,1.290915,0.99556994,0.037024178,4.4033902e-07,0.71585846,0.0337136,5.342543e-06,0.67280084,0.3562921,1.7758783,0.32513964,0.0005659185,0.44608912,0.2890282,3.1025207,1.3572265,0.0814333,0.07019262,0.36253554,0.05334172,0.049849227,0.03662817
70,1.0842353,0.7615224,1.5000097,0.0500805,6.1607824e-07,1.0449225,0.019155081,1.16673455e-05,0.6453554,0.345103,1.998196,0.64772606,0.019631257,0.5210578,0.41347545,2.1107664,0.70893633,0.075492546,0.034725696,0.21897255,0.042970706,0.04044024,0.06119715
71,1.926055,0.62632436,0.9708371,0.014916986,1.3050757e-07,0.31281203,0.021186503,2.4745043e-06,1.205318,0.08167659,0.9782722,1.5626729,0.011203344,0.17755543,0.055808883,0.49256042,0.5049872,0.03297039,3.0401172e-06,0.20298402,4.6164864e-06,0.04106432,0.045330327
72,1.4916909,0.8132568,1.2470117,0.10512013,3.8029066e-07,1.4479015,0.0324474,1.1448162e-07,0.40991879,0.28778002,1.5468599,1.0102118,0.011542076,0.20027217,0.117145486,0.8919045,0.5495686,0.07432713,0.053554837,0.39586592,0.0078759445,0.06729096,0.047650818
73,0.8726751,0.87889344,1.1167476,0.05423096,4.7903536e-06,0.6072757,0.04672642,1.0413844e-07,0.3567839,0.2872057,2.1441357,2.7485738,0.018014975,0.26763055,0.3701614,0.32867098,0.11360081,0.04226358,0.20479305,0.29250276,0.07054283,0.06559908,0.05643953
74,0.9091854,0.626241,0.40958256,0.00023344156,3.9936828e-07,0.5029261,0.0013823354,7.6936584e-07,0.32753092,0.075222194,0.6951299,0.3066841,0.008681235,0.0061706556,0.1199137,0.33639935,0.18087457,0.020120284,0.037987195,0.14982632,0.086410716,0.0049747606,0.026106063
75,0.38077447,0.09122659,0.163394,0.011197925,2.5033544e-06,0.2375338,4.3495816e-06,1.280483e-05,0.1662995,0.040399637,0.27756497,0.037789132,0.0069921305,0.11420525,0.0008190997,0.04027939,0.17149569,0.012189827,0.038071044,0.15178695,1.8650555e-05,0.013295945,0.007977713
