,Astro,Endo,ExcitatoryL2and3,ExcitatoryL4,ExcitatoryL5,ExcitatoryL6,Micro,Olig,Pvalb,Smc,Sst,Vip
57,0.027847949896638483,0.04470020673568144,0.07258425702464415,0.05660452385684204,0.24373566937762609,0.24855066460218644,0.05434008863446569,0.060989142541313324,0.050274125593662164,0.043994217460263996,0.050336800354975904,0.046042353921700245
58,0.11475419120346543,0.07500463227002746,0.043481866187567705,0.04537109124092937,0.18412234761378857,0.1524525520054377,0.06706759299233725,0.07754211324106863,0.05723979670800132,0.06267393652795933,0.06303915361712852,0.057250726392288724
59,0.15415582746586973,0.10899725915717831,0.02340911576525199,0.021604630898685615,0.08104385625764218,0.07961119576369222,0.11979696171714352,0.18512804026956814,0.04013907863085697,0.110588477060271,0.0384808430524458,0.03704471396139451
60,0.07309768483326301,0.10679812840937103,0.0349942282092385,0.031119477594190655,0.10458713583995007,0.10946090948622988,0.10028196877084936,0.1884209405740126,0.058721600124088336,0.07351989006293151,0.05774667571308559,0.061251360382789534
61,0.033750584143512,0.038377762183629975,0.06324601575739165,0.05973256257278145,0.24185224685278653,0.27375968909357734,0.03968312094566409,0.05091299643804438,0.05620166414581566,0.03337548921574175,0.06215613228229573,0.04695173636875958
62,0.034596088682177326,0.03437330042994367,0.08892962088954841,0.07516626247920317,0.24657831534321958,0.2688623835345051,0.03359381797330301,0.03334902061553324,0.04669438213054722,0.03890840964945442,0.054368986114967224,0.04457941215759761
63,0.012623933040279634,0.014443151746910191,0.0817968165263636,0.07833256684524807,0.2690690909541279,0.31837988662572636,0.020555407199690578,0.021117306277582615,0.05080530186310321,0.030236353906289485,0.0585161103908147,0.04412407462386382
64,0.023891637377038387,0.020386603413366813,0.054808593530201746,0.06259340653235289,0.2881930222769264,0.27011186149877386,0.03176299164541193,0.03144292647835691,0.05933720958154494,0.033976923893099024,0.06971508492192989,0.05377973885099709
65,0.020748778137366256,0.02937201934521607,0.07387057731235398,0.07155646123794049,0.28243161984674525,0.24853646693639667,0.02794050600171898,0.04008394306758536,0.058264563478198375,0.03517148821220557,0.05870840140892575,0.05331517501534719
66,0.030548670058086983,0.02444112245406139,0.0917040145917143,0.08176684867295564,0.2756894666560138,0.2513137865005633,0.027925342971378865,0.027068938586751513,0.06237358014034717,0.026736171016536844,0.06100333245052819,0.03942872590106226
67,0.019135320695424625,0.034151648709979734,0.0742252971199069,0.10431743860791949,0.25379924429527256,0.21058066559732028,0.03737895941893253,0.03906974121868807,0.06951288777994918,0.031189478559210962,0.06486003228017338,0.06177928571722228
68,0.039857508565338415,0.03997119366849039,0.09049172560129595,0.11885446678109236,0.23675966164417492,0.19612788563340933,0.04507240631672826,0.03802624897031187,0.054892862281928655,0.047401787846487436,0.04738013542095886,0.045164117269783394
69,0.020479846123150763,0.027014468279153613,0.09585752726070026,0.14265646064857648,0.26453492666962947,0.22895675064597792,0.03457597195278613,0.03455368317999278,0.04161202234490001,0.03095899833452107,0.04129000980436616,0.0375093347562452
70,0.032939663062703184,0.019522647708793556,0.0947065369277022,0.11387311326975734,0.2539826637385569,0.22788669439383707,0.033220139457233205,0.03375817430290397,0.059938253808101596,0.03140917343438171,0.05506017623295814,0.04370276366307091
71,0.03462610962602782,0.034905261674720155,0.1230249864509929,0.09619772055550928,0.227075659405882,0.22971959891791752,0.028788579948111806,0.02670269678919118,0.051008557558091625,0.03866577494496039,0.05467572059151344,0.054609333537081854
