,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Exc_L5_6_FEZF2_SH2D1B,,0.6544122525500415,0.6912202424233113,,0.7432141219009164,0.73506147742707,0.7064592030068416,0.7303744118529302,0.7564086883041228,0.8085940897407221,1
Exc_L5_6_THEMIS_SMYD1,0.20667364432944665,0.26586299648414313,0.4296069114721426,,0.22793455650635003,0.22032360744945628,0.4890718303183509,0.3851859373724457,0.3194537681625511,0.7328109330949785,1
Exc_L5_6_THEMIS_TNFAIP6,0.5311483440897562,0.5304966397540419,0.5416776325746256,0.7287728598766955,0.6155583662845354,0.5819376897736399,,0.7265837907677227,0.6914996541049527,0.7321103950902859,1
Exc_L5_FEZF2_CSN1S1,,0.6101653759775871,0.7523034343318039,,0.7720700206935677,0.7872202027709262,0.5661154047645391,0.7606289208661874,0.7829491877419636,0.8204430482643934,1
Exc_L5_FEZF2_NREP_AS1,0.44035453082226184,0.6720655578321914,0.6563997597259931,,0.7096372598052546,0.7107589632888678,0.602544542014969,0.7156097310255313,0.7288870016300518,0.8176006684307964,1
Exc_L5_FEZF2_PKD2L1,0.5554918376288982,0.6090750924726536,0.5556408799748288,0.8086283276826655,0.6352811569050781,0.6363585415615901,0.6239678856365269,0.700187422212467,0.7491538901508454,0.8132353003718409,1
Exc_L5_FEZF2_RNF144A_AS1,,0.5656718483105619,0.5292037743373987,0.7090034649619283,0.6730930691094651,0.6582734549487772,0.5813537646105471,0.7149561151165466,0.6729007367435847,0.8041683272094121,1
Exc_L5_RORB_MED8,0.5283141189985657,0.5647589981194853,0.4497730717777801,0.7957479136129619,0.6540362327763601,0.7220432794995006,0.6298563327627734,0.6888498843617548,0.761944894264,0.8057644573360246,1
Exc_L5_THEMIS_FGF10,,0.6951778259734036,0.6353066647914347,0.786535792658675,0.7143893111672937,0.8325546111576977,0.6536131899459674,0.7606432924423479,0.7917077854896615,0.8131382211629736,1
Exc_L5_THEMIS_LINC01116,0.6077974588357491,0.6919822223161766,0.6969167060676004,,0.6477611684953263,0.7837873274044539,0.5656529784655582,0.7898526279937369,0.7866505814642812,0.8176535229701121,1
Exc_L5_THEMIS_RGPD6,,0.68486875269486,0.6074228444077996,,0.6750419623787632,0.6910157891648159,0.5955967116446583,0.7047449893015517,0.7453870060122676,0.8047963100340028,1
Exc_L5_THEMIS_SLC22A18,0.3272557993863105,0.4052386093021675,0.507652076449132,,0.5589070630744354,0.5428631132701982,0.7146721762086975,0.5856734885346928,0.6003933491267609,0.759091747754383,1
Exc_L5_THEMIS_VILL,,0.6345327366957073,0.6218683330695457,,0.6147722870386033,0.7085998969352412,0.795015611633717,0.7204517022801026,0.7646165826070219,0.7974339285701263,1
Exc_L6_FEZF2_FFAR4,,0.6950868028700783,0.6968242918343488,0.7859047928340978,0.7302001015854711,0.7649450969403654,0.8325546111576977,0.7621919703150835,0.7815998933269136,0.826062131629487,1
Exc_L6_FEZF2_KLK7,0.2906561691798462,0.32185856745218877,0.3526392853700424,0.5251769409568625,0.49450656991792197,0.32912339748817343,,0.6526072813882353,0.40267346905923945,0.74082585890205,1
Exc_L6_FEZF2_PDYN,,,,,0.8212159848094404,0.8309551620451432,,0.814438802825745,,0.8276718063449292,1
Exc_L6_FEZF2_POGK,,0.6113170452242251,0.37675815351768605,0.7451149910570641,0.6762854325947091,0.7283561678664097,0.6382318561924387,0.6866157756170037,0.714297092288974,0.8095585073935337,1
Exc_L6_FEZF2_PROKR2,,0.6113614056610558,0.48581110979718234,,0.7163205357714958,0.7530122233182853,0.707817560018342,0.6747026768679958,0.6750282115593377,0.8189683205528132,1
Exc_L6_THEMIS_LINC00343,0.4204080424086916,0.4651830746035703,0.5167672905154572,0.6789825391823183,0.5006395217050614,0.51787428055298,0.6685292344256805,0.5183871070122222,0.5475614671644924,0.7014389237842346,1
Exc_L6_THEMIS_SLN,0.4247187884923405,0.6081942518915622,0.49655834628134854,0.7772222178810184,0.625729130013625,0.6164784005352725,0.7216864017695318,0.6696973846546364,0.721730142384381,0.794396984771661,1
Exc_L6_THEMIS_SNTG2,0.40671237870527793,0.5095146290930916,0.5085813396086126,,0.5412314581725792,0.4822755110986224,0.7765308597666367,0.6041433642254914,0.6160193218737458,0.7397006522526259,1
Inh_L1_2_PVALB_CDK20,,0.6367270839513598,0.5816288351656644,,0.6850229522762511,0.7568479280509388,0.6077563023243683,0.7048661350923342,0.7948827917221154,0.8202551462418058,1
Inh_L1_2_SST_CCNJL,0.3079725145577447,0.5851718137072305,0.5823450238090974,,0.6150825381055577,0.6171735251837946,0.652266725072671,0.7623273699604854,0.7243334191677623,0.8082423971466275,1
