,RCTD,Cell2location,Tangram,Seurat,Stereoscope,SPOTlight,SpatialDWLS,DestVI,STRIDE,DSTG,dataset
Inh_L2_3_SST_NMU,0.03887865215831026,0.043017750801399586,0.043107835856266846,0.08026543163693324,0.04143577617004725,0.045318442130593654,0.05299030365417817,0.04268870609432317,0.04701671316633164,0.04757812878523789,1_r
Inh_L2_5_PVALB_HHIPL1,0.04031680488103216,0.03743734632133269,0.03727172836723844,0.04031680488103216,0.04120157616993862,0.039623261643127905,0.04241586363275468,0.04366813055816313,0.0393379655043968,0.04002718292220947,1_r
Inh_L2_5_PVALB_RPH3AL,0.06555775547666726,0.08399283125630488,0.10400581322634085,0.13391795907520868,0.0824524206074359,0.11023503442565838,0.12804092608441958,0.11222355645574769,0.11312983768623779,0.11672571637983907,1_r
Inh_L2_5_VIP_BSPRY,0.01976224341521522,0.01861421592805272,0.030942796820397828,0.019846631258065572,0.01933274509439892,0.01981725629447972,0.01965641022753082,0.017409921074846582,0.019684590812659483,0.019747666365459215,1_r
Inh_L2_5_VIP_SOX11,0.024669774191562716,0.02166760902836214,0.03143737787773348,0.024669774191562716,0.018531704566491676,0.024186554682639978,0.04586857005817875,0.02202229525464834,0.024391098911316557,0.024600917875914636,1_r
Inh_L2_PAX6_FREM2,0.021749072177863087,0.009692014046889333,0.02155802027802095,0.021749072177863087,0.007711849416349446,0.01611563482261589,0.011087622169756941,0.013010206387263098,0.02148390146830566,0.021686694488029696,1_r
Inh_L2_PVALB_FRZB,0.02074628070920921,0.019941857200095555,0.03641544646371831,0.021147040161466766,0.019108666357670435,0.02067039056271543,0.01834770189163405,0.01981087723090943,0.022147799136256904,0.020682538598945997,1_r
Inh_L2_VIP_SLC6A16,0.03506604404631432,0.028248328970682163,0.040165536333393426,0.03506604404631432,0.0245179105621909,0.032722471753754576,0.03506604404631432,0.030959248212449976,0.034031959312388775,0.0348251895257376,1_r
Inh_L3_5_PVALB_ISG20,0.030334370684976013,0.03174635681857827,0.015969766791776592,0.030334370684976013,0.025789199509677882,0.03129964610165227,0.04784358507019171,0.02471137429367818,0.029849875930561504,0.030206335106223104,1_r
Inh_L3_5_SST_CDH3,0.02606248487604035,0.019478755103239258,0.027137468497943122,0.02606248487604035,0.020867136484294085,0.024474348140968247,0.026025251325684638,0.022851429617215358,0.025852567343003636,0.02598500416228359,1_r
Inh_L3_5_SST_GGTLC3,0.0545528093860316,0.05772378455958231,0.058505128801558656,0.08231262013381775,0.05559357910809282,0.0630257239603043,0.07177230963360766,0.05864460906931485,0.06836112470656777,0.0701225036391845,1_r
Inh_L3_5_SST_OR5AH1P,0.03288533505128646,0.034915994703718686,0.0397785345077701,0.03685708968041846,0.03583315117094491,0.03621745620835586,0.03680061838285608,0.035811319133666114,0.035649603449720416,0.03646246058534921,1_r
Inh_L3_5_VIP_HS3ST3A1,0.025500670479197983,0.029757754545301423,0.027064258405237678,0.03549801533825513,0.028693322217755085,0.03205215890445555,0.03042598503718579,0.034238581561339854,0.03386743412702573,0.035210357491207066,1_r
Inh_L3_5_VIP_IGDCC3,0.027167855753747625,0.03297339843089444,0.037710117013554506,0.039966942038967695,0.025811223592385746,0.03576008743434726,0.039981560805809425,0.033255589191420465,0.038265615144133805,0.03967304350268816,1_r
Inh_L3_5_VIP_TAC3,0.039719675902936326,0.040734429099188375,0.039637470009062696,0.0461022971634596,0.03249093047118711,0.045876475928983404,0.05329675102100468,0.04131246654576659,0.04959667375203487,0.05103660768860141,1_r
