X	Y
7488.42	262.72
7461.32	-58.07999999999989
7395.16	650.18
7398.69	800.32
7390.71	-97.78
7360.07	388.12
7318.74	581.52
7295.59	6.819999999999941
7248.82	72.52
7261.23	-231.48
7234.12	788.95
7211.56	-19.28
7209.17	-310.28
7160.63	295.62
7137.62	36.9200000000001
7124.44	843.65
7108.25	-24.5799999999999
7100.08	525.3
7015.45	458.09
7023.28	865.12
7003.05	238.12
6944.04	385.52
6918.81	-38.78
6895.21	412.42
6875.36	-256.58
6870.82	681.8
6881.56	91.31999999999991
6838.85	423.02
6825.93	223.82
6789.47	-72.98
6729.67	-266.48
6732.57	923.04
6716.77	297.22
6690.27	1077.03
6669.17	-19.48
6665.47	714.33
6624.57	889.06
6615.87	1036.35
6621.07	-312.98
6615.17	788.88
6571.67	847.55
6541.77	48.72
6536.77	733.59
6528.47	787.31
6520.87	1004.28
6467.07	1080.17
6467.47	-88.78
6453.07	689.88
6408.47	826.31
6368.87	-221.88
6358.77	379.52
6360.87	-35.3800000000001
6338.87	85.6199999999999
6329.07	225.72
6312.77	871.45
6297.37	979.4
6205.07	-130.38
6202.27	360.72
6139.57	-28.98
6130.87	240.42
7421.66	563.61
7384.47	500.31
7342.48	921.66
7253.27	936.48
7253.4	263.72
7237.37	200.32
7224.04	382.12
7206.83	631.2
7125.99	167.42
6992.58	103.02
6704.27	-124.68
6666.77	378.82
6589.07	505.09
6560.97	-105.98
6521.87	357.02
6515.97	590.03
6482.57	798.99
6399.67	-153.58
6395.27	-311.48
6290.07	-200.78
6285.57	547.12
6252.67	678.91
6241.27	787.18
6256.27	-289.88
6207.27	565.81
6139.17	670.56
7406.31	1036.95
6847.45	1179.46
6662.67	1207.87
6645.07	-519.38
6367.17	1240.76
6132.47	1002.12
6036.27	966.46
6028.17	798.77
5980.97	308.12
5931.57	1141.04
5921.07	981.4
5899.27	382.42
9412.0	119.62
